Datum;Eröffnung;Hoch;Tief;Schluss;Währung;Volumen
04.04.2025;364,125;374,590;359,480;359,840;EUR;49209854
07.04.2025;350,880;371,000;344,790;357,860;EUR;50424998
08.04.2025;368,255;373,650;350,250;354,560;EUR;35868918
09.04.2025;353,535;393,225;353,100;390,490;EUR;50199696
10.04.2025;382,060;383,900;367,800;381,350;EUR;38024368
11.04.2025;380,635;390,050;378,890;388,450;EUR;23839220
14.04.2025;393,220;394,650;384,210;387,810;EUR;19251172
15.04.2025;388,505;391,890;384,160;385,730;EUR;17199890
16.04.2025;380,670;381,610;368,000;371,610;EUR;21967826
17.04.2025;373,745;374,322;366,890;367,780;EUR;21120192
21.04.2025;362,815;364,480;355,670;359,120;EUR;20807279
22.04.2025;363,375;367,770;359,860;366,820;EUR;19484993
23.04.2025;376,060;380,390;373,020;374,390;EUR;20545526
24.04.2025;375,695;388,450;375,190;387,300;EUR;22232289
25.04.2025;387,000;392,160;384,600;391,850;EUR;18973165
28.04.2025;391,955;392,740;386,638;391,160;EUR;16579430
29.04.2025;391,300;395,100;390,380;394,040;EUR;14973976
30.04.2025;390,300;396,660;384,440;395,260;EUR;36461075
01.05.2025;431,110;436,990;424,900;425,400;EUR;58938100
02.05.2025;431,740;439,440;429,985;435,280;EUR;30757434
05.05.2025;432,870;439,500;432,110;436,170;EUR;20136053
06.05.2025;432,200;437,730;431,170;433,310;EUR;15104204
07.05.2025;433,840;438,120;431,110;433,350;EUR;23307241
08.05.2025;437,930;443,670;435,660;438,170;EUR;23491330
09.05.2025;440,000;440,740;435,880;438,730;EUR;15324233
12.05.2025;445,940;449,370;439,780;449,260;EUR;22821935
13.05.2025;447,780;450,673;445,360;449,140;EUR;23618819
14.05.2025;448,140;453,900;448,140;452,940;EUR;19902796
15.05.2025;450,765;456,190;450,430;453,130;EUR;21992323
16.05.2025;452,050;454,360;448,730;454,270;EUR;23849781
19.05.2025;450,875;459,585;450,800;458,870;EUR;21336509
20.05.2025;455,590;458,340;454,320;458,170;EUR;15441808
21.05.2025;454,570;457,780;451,814;452,570;EUR;19216906
22.05.2025;454,950;460,250;453,900;454,860;EUR;18025612
23.05.2025;449,980;453,690;448,910;450,180;EUR;16883509
27.05.2025;456,480;460,950;456,115;460,690;EUR;20974293
28.05.2025;461,220;462,520;456,930;457,360;EUR;17086261
29.05.2025;461,550;461,720;455,311;458,680;EUR;13982211
30.05.2025;459,715;461,680;455,540;460,360;EUR;34770475
02.06.2025;457,140;462,110;456,890;461,970;EUR;16626495
03.06.2025;461,470;464,140;460,862;462,970;EUR;15743760
04.06.2025;464,000;465,690;463,020;463,870;EUR;14162688
05.06.2025;464,955;469,650;464,030;467,680;EUR;20154460
06.06.2025;470,085;473,335;468,780;470,380;EUR;15285624
09.06.2025;469,700;473,430;468,620;472,750;EUR;16469932
10.06.2025;471,185;472,800;466,960;470,920;EUR;15375944
11.06.2025;470,020;475,470;469,655;472,620;EUR;16399176
12.06.2025;475,020;480,415;473,520;478,870;EUR;18950582
13.06.2025;476,410;479,180;472,760;474,960;EUR;16814456
16.06.2025;475,210;480,694;475,000;479,140;EUR;15626104
17.06.2025;475,395;478,740;474,080;478,040;EUR;15414128
18.06.2025;478,000;481,000;474,460;480,240;EUR;17526452
20.06.2025;482,230;483,460;476,870;477,400;EUR;37576206
23.06.2025;478,210;487,750;472,510;486,000;EUR;24863952
24.06.2025;488,950;491,849;486,795;490,110;EUR;22305642
25.06.2025;492,040;494,556;489,390;492,270;EUR;17495099
